start,tg_server_00000,tg_server_00001,tg_server_00002,tg_server_00003,tg_server_00004,tg_server_00005,tg_server_00006,tg_server_00007,tg_server_00008,tg_server_00009
0.0,0.443,0.302,0.453,0.383,0.463,0.433,0.332,0.473,0.352,0.463
1.0,0.453,0.453,0.453,0.423,0.453,0.463,0.463,0.433,0.453,0.453
2.0,0.463,0.463,0.463,0.453,0.453,0.453,0.443,0.453,0.463,0.453
3.0,0.453,0.453,0.443,0.453,0.453,0.453,0.463,0.453,0.473,0.473
4.0,0.453,0.443,0.483,0.463,0.473,0.453,0.453,0.473,0.433,0.433
5.0,0.463,0.463,0.453,0.453,0.453,0.463,0.443,0.433,0.463,0.453
6.0,0.443,0.453,0.453,0.483,0.453,0.443,0.473,0.443,0.453,0.463
7.0,0.453,0.473,0.433,0.433,0.443,0.453,0.463,0.453,0.483,0.463
8.0,0.453,0.433,0.473,0.473,0.453,0.453,0.433,0.453,0.423,0.443
9.0,0.453,0.463,0.433,0.423,0.463,0.463,0.463,0.463,0.453,0.453
10.0,0.453,0.443,0.463,0.453,0.443,0.443,0.443,0.453,0.463,0.463
11.0,0.463,0.473,0.443,0.463,0.453,0.453,0.443,0.463,0.443,0.443
12.0,0.463,0.443,0.453,0.443,0.453,0.453,0.483,0.443,0.453,0.453
13.0,0.443,0.443,0.453,0.463,0.453,0.473,0.433,0.463,0.453,0.473
14.0,0.453,0.463,0.473,0.453,0.453,0.453,0.463,0.453,0.453,0.433
15.0,0.453,0.453,0.443,0.453,0.463,0.453,0.453,0.443,0.453,0.453
16.0,0.453,0.443,0.473,0.453,0.443,0.453,0.453,0.463,0.453,0.453
17.0,0.453,0.463,0.443,0.453,0.463,0.463,0.453,0.443,0.453,0.453
18.0,0.463,0.463,0.443,0.453,0.453,0.433,0.453,0.463,0.463,0.473
19.0,0.453,0.443,0.473,0.463,0.463,0.473,0.443,0.453,0.443,0.443
20.0,0.453,0.453,0.433,0.463,0.453,0.433,0.453,0.453,0.453,0.463
21.0,0.463,0.453,0.453,0.443,0.463,0.473,0.463,0.463,0.453,0.443
22.0,0.433,0.483,0.463,0.463,0.433,0.443,0.453,0.443,0.453,0.463
23.0,0.453,0.443,0.463,0.443,0.473,0.443,0.453,0.453,0.463,0.443
24.0,0.453,0.443,0.443,0.443,0.433,0.473,0.463,0.453,0.473,0.453
25.0,0.463,0.443,0.453,0.463,0.453,0.473,0.453,0.453,0.453,0.453
26.0,0.453,0.453,0.453,0.463,0.453,0.423,0.443,0.463,0.443,0.453
27.0,0.463,0.463,0.463,0.443,0.453,0.453,0.453,0.453,0.443,0.473
28.0,0.443,0.463,0.443,0.463,0.463,0.453,0.453,0.443,0.453,0.433
29.0,0.453,0.443,0.463,0.443,0.453,0.453,0.463,0.463,0.453,0.453
30.0,0.473,0.453,0.463,0.453,0.453,0.463,0.453,0.443,0.453,0.453
31.0,0.463,0.463,0.433,0.453,0.453,0.443,0.453,0.463,0.463,0.463
32.0,0.433,0.443,0.453,0.463,0.463,0.463,0.443,0.473,0.453,0.463
33.0,0.443,0.453,0.453,0.443,0.443,0.443,0.483,0.433,0.453,0.443
34.0,0.453,0.453,0.453,0.463,0.453,0.473,0.453,0.453,0.473,0.473
35.0,0.463,0.453,0.483,0.463,0.453,0.443,0.433,0.453,0.463,0.443
36.0,0.473,0.463,0.433,0.443,0.453,0.453,0.463,0.473,0.443,0.443
37.0,0.443,0.443,0.463,0.453,0.453,0.463,0.443,0.433,0.453,0.453
38.0,0.443,0.473,0.443,0.453,0.453,0.443,0.463,0.453,0.433,0.453
39.0,0.453,0.453,0.453,0.453,0.463,0.463,0.453,0.463,0.453,0.473
40.0,0.453,0.463,0.453,0.453,0.463,0.453,0.443,0.453,0.453,0.433
41.0,0.463,0.443,0.453,0.453,0.443,0.453,0.453,0.453,0.453,0.473
42.0,0.443,0.443,0.453,0.463,0.463,0.453,0.473,0.453,0.453,0.443
43.0,0.453,0.463,0.453,0.443,0.473,0.443,0.443,0.453,0.453,0.463
44.0,0.463,0.443,0.453,0.453,0.453,0.453,0.473,0.453,0.463,0.453
45.0,0.453,0.453,0.473,0.453,0.423,0.463,0.443,0.453,0.453,0.453
46.0,0.453,0.453,0.453,0.463,0.483,0.453,0.463,0.463,0.453,0.443
47.0,0.453,0.453,0.443,0.453,0.423,0.463,0.433,0.443,0.453,0.463
48.0,0.463,0.453,0.463,0.453,0.453,0.453,0.453,0.473,0.483,0.453
49.0,0.443,0.473,0.453,0.473,0.493,0.443,0.453,0.453,0.423,0.443
50.0,0.463,0.443,0.463,0.453,0.423,0.463,0.463,0.443,0.453,0.463
51.0,0.453,0.463,0.433,0.443,0.483,0.443,0.443,0.443,0.453,0.443
52.0,0.443,0.443,0.463,0.443,0.433,0.453,0.453,0.453,0.453,0.463
53.0,0.453,0.463,0.453,0.483,0.453,0.463,0.453,0.463,0.473,0.463
54.0,0.453,0.453,0.453,0.423,0.443,0.453,0.463,0.473,0.433,0.443
55.0,0.453,0.443,0.443,0.473,0.453,0.453,0.463,0.443,0.463,0.453
56.0,0.463,0.453,0.473,0.443,0.463,0.453,0.443,0.443,0.453,0.453
57.0,0.463,0.453,0.463,0.473,0.463,0.453,0.453,0.453,0.463,0.453
58.0,0.443,0.453,0.463,0.433,0.433,0.463,0.453,0.453,0.453,0.463
59.0,0.473,0.473,0.433,0.453,0.463,0.473,0.453,0.463,0.443,0.443
60.0,0.433,0.463,0.453,0.463,0.453,0.433,0.453,0.443,0.473,0.453
